checksum_match,date,interval,expected_checksum,actual_checksum,file_size,line_count,unique_timestamps,first_timestamp,last_timestamp,http_status,last_modified,etag,server,content_type,content_length,x_cache,x_amz_cf_id
0,2023-03-13,1s,2d9470a077f548af59bc0d3c98eb07cfb8066b0dd368e3c90842251d9e1548e6,aa455537c6d125644dfbecf6cdb31c1c524199d5d9c19d9dc15edd22e50ece54,3964296,86400,86400,1678665600000,1678751999000,200,Thu, 13 Apr 2023 10:23:34 GMT,e6b1ed6fb605ed808fab88cde4609cff,AmazonS3,application/zip,3964296,Miss from cloudfront,G_nzABDEJlkbsDvfPMHccU-J79oo2A_idJiBdohEzK4H7SXWGZBtqg==
0,2023-03-12,1s,b0718a31044a0759b65d7849b4f9406ca48d550edb9378ea8a349feaddfbe03f,d71a09508c28535d97eb7d214a996a978013d20a73969ee5ece72414d8dcc3fa,3804439,86400,86400,1678579200000,1678665599000,200,Thu, 13 Apr 2023 10:24:23 GMT,a2e7325b9f5fd0e041527b29b696256c,AmazonS3,application/zip,3804439,Miss from cloudfront,QUT4Kf1JhU5yl28vGIvr2eoR-cH9lWKohF687DAVx4EPaSd7zPGLJg==
0,2023-03-11,1s,bb2a374ff89f9d5bb4a68826882836e80ba1e1444bc8f2291374e4dd4fe7ff9a,f9468f3f03cce70772fcd11ad9fd6e0d07d843e93fa18d7ba916db97cc522cf3,3848836,86400,86400,1678492800000,1678579199000,200,Thu, 13 Apr 2023 10:24:41 GMT,8edd877da2c2a6c9c9681b7c96c772e8,AmazonS3,application/zip,3848836,Miss from cloudfront,QXC4aG8jTpbn8xElEe9zNYfYrdkSnPC_FT2ZmQGz1xbFAt12JmfKSw==
0,2023-03-10,1s,98180fda0b00ef5ebc56c9d180610b00516855cf1f6c62029705d2ba922cdc02,eeacc24a5567d2715635ce31ee9a30eba5829980ac6bc3a57840e91ddb76b6a7,3909344,86400,86400,1678406400000,1678492799000,200,Thu, 13 Apr 2023 10:25:23 GMT,45df07513a3c9de530de9c8dc5554751,AmazonS3,application/zip,3909344,Miss from cloudfront,SVZlNpttoMawzCIY5KSzD30B02l6UJNjZhi6_Ho7Kgdn-hiJw_QNww==
0,2023-03-09,1s,5f2e5786774ae7329dc60b5962840c52efa421292b801e2a148187fb464e2d84,c1246b89942d42a95b0944dc5b7b0036787b0e132c6f01f6d1d8c7d6c5dcd238,3804997,86400,86400,1678320000000,1678406399000,200,Thu, 13 Apr 2023 10:24:58 GMT,5a0eaf8d0122354a863ef9efda2f8e12,AmazonS3,application/zip,3804997,Miss from cloudfront,Cd2jXm8b1PNXxLTIZ4buDuUoKdXJlaSoj8Q-m8wjp4dx513Z6_bPxA==
0,2023-03-08,1s,6ae924e47ecd8f81502e7e916996b498891df13436b5ffec7bf22a00380d28f9,6cade5c425927c000a5ec711e09c87efc5ccadd59f02ce5d93580880fcfe2f14,3746285,86400,86400,1678233600000,1678319999000,200,Thu, 13 Apr 2023 10:25:55 GMT,3c9c44525bdbcdf86dafcf6c863a1dff,AmazonS3,application/zip,3746285,Miss from cloudfront,8Y_ZSuK3WGgPfPvSUDTSOwx-iLdPyYciRWIuuKaYp852msUCpw3P3Q==
0,2023-03-04,1s,7a103e300cbe94578cfdb8131c0ddcdfad3d51d2a80a5eb093e31baed250216e,60667e02e2f231ffd0abd0a04eaaaf5c9ac94c97860bb2cc6cf3c2c546615ec8,3516655,86400,86400,1677888000000,1677974399000,200,Thu, 13 Apr 2023 10:23:56 GMT,e95034489850d66105e4c2bfa66f3d30,AmazonS3,application/zip,3516655,Miss from cloudfront,NN2FooZTwQOLzh9pQ1mJZXFDjuhWf_UcJgWcFRuhi3s6nQV7k4L-jA==
0,2023-03-03,1s,1e6dcf7a2e4f2c71003fc04b7a6485ec48d363c275baf1424de40c20691c80cf,9f526c3b35a3a02b93198eebfde0a3f382cba1afa20bb0fc7481b8f12269a010,3745812,86400,86400,1677801600000,1677887999000,200,Thu, 13 Apr 2023 10:23:53 GMT,ee7bd06f188dab030750e87fc2b4d03e,AmazonS3,application/zip,3745812,Miss from cloudfront,9cMjzW1DBuW84CJTGSZ09M2z8R917-VgQowM3laP66WsM2rHiMqyWA==
0,2023-03-02,1s,a24516eca6254de010d9f9ba23a68ec94bc1de97301dbf2ce451c9fe621ef3c1,4cce35b8fc3e2d1e4d75b32fc3a77856598e616c62058eae9ece0419113e967a,3735392,86400,86400,1677715200000,1677801599000,200,Thu, 13 Apr 2023 10:23:21 GMT,d06d2a870ad762316648e7cfe8e8e363,AmazonS3,application/zip,3735392,Miss from cloudfront,8QEN2i8qaTHDGnxlHZNUhg8KyMq7h6CfSooxGNI3q2Sag_zfEn4Xlw==
0,2023-03-01,1s,7189a003dc75c000a096f722aba29432cecacf5d8c7a123eb9e781a7bc3df8dd,29dcba69267f20afd7c180f6170891a83cbaf997b97a52b172368e0dac0567b1,3799627,86400,86400,1677628800000,1677715199000,200,Thu, 13 Apr 2023 10:25:47 GMT,24c30883737ea176b84470971929b704,AmazonS3,application/zip,3799627,Miss from cloudfront,N2XO0aR59UPnCBft7ZtAZnFF3SOrJhn711CqeX74z88we6E_djOSew==
0,2023-02-27,1s,2eaa6f39afac9ae800e743440a216a409ee9cd800d563bfcb41974fc2a9e8cfa,ec5640005adaec5c40cb447e44e142c32d3ef76d312e24f73609523ea31a9518,3779721,86400,86400,1677456000000,1677542399000,200,Thu, 13 Apr 2023 10:25:06 GMT,8db2f2d12322a10d7ebd7a54224a76ff,AmazonS3,application/zip,3779721,Miss from cloudfront,fOFHxQnRun2Z5Hc0sBKZVC8OPop_dbN7dS-vwd2zgnU4up2mBOOvmg==
0,2023-02-26,1s,ecdd6b0b35e14bb82f8e9819cf2ca5ae9f60588ce48dd4b2a6eec026f33151d3,e40be8523a739eab72268356e3e9a36b3a2b5e36351744519a0fb533c4911afc,3685462,86400,86400,1677369600000,1677455999000,200,Thu, 13 Apr 2023 10:25:46 GMT,a2c40a189e15727b5e158616b4774f30,AmazonS3,application/zip,3685462,Miss from cloudfront,iGNbX03Lu2nplfENAzMvudB7tY5f1DWrifVYrYX-xo7StYIwBQAgIw==
0,2023-02-25,1s,f1a20034159dd69af3562dca81cca20667551097db21bbd94b5168f4f0791e82,958fe68299c02d20ff4cd4af17d6290ef20a7865647b3adcd068cdf6a2b14783,3685287,86400,86400,1677283200000,1677369599000,200,Thu, 13 Apr 2023 10:23:13 GMT,2d51ff2420fea1306dd0d28ccbb26c84,AmazonS3,application/zip,3685287,Miss from cloudfront,nM6OgeRJ2xtNTP_GKmo5q0RSc16qq_D8-MNGP6E2nV02NMxJIiCvkw==
0,2023-02-24,1s,bcc3f349515c67a8a719962103d5a18341c7b74f1c3ff3655d8756a2eb8345de,19539d6580fbc950f0babd23752c0b051d9be89dab0cc8d7980887bce5285c2d,3820955,86400,86400,1677196800000,1677283199000,200,Thu, 13 Apr 2023 10:24:02 GMT,39feca4c069bc2c9a8589cf1c1cadb0e,AmazonS3,application/zip,3820955,Miss from cloudfront,QqzEe0BCiKoXTKbCP2U8ZOQZrH7oXVSjdy7m-lDU774MWhPnxTkSeQ==
0,2023-02-23,1s,3ea076126e62d4156f99cbcd842e4ae59c8f72aedab8fc8296aa8b8bb70784b0,f3717197135c15f1e7969df9357c1aad809fab71c77f0ecc054fe1eeccddef19,3857644,86400,86400,1677110400000,1677196799000,200,Thu, 13 Apr 2023 10:23:58 GMT,c0191f68008440845973aafd5888522b,AmazonS3,application/zip,3857644,Miss from cloudfront,nLQRAVKNqH6DbMdy2ZBT80efhuL8BUs1ThdYy_yKvtaWrI_KCVJWUw==
0,2023-02-22,1s,5c695bf8ef8ff0eecebfad4906042abd039df58d6ad88055a26308890376266e,fa70d33a093d572dfbe6ba8c147c67ae6961c4203c6a7d33302ca45ba560b265,3873807,86400,86400,1677024000000,1677110399000,200,Thu, 13 Apr 2023 10:23:14 GMT,0ba26b4aa4884e4dc9f552f9c184c51a,AmazonS3,application/zip,3873807,Miss from cloudfront,T5mAA3KVDEuY7tCyDL9NwZGZ66YbLTn-JLn7dm-MJaK2N6yWBNRcTA==
0,2023-02-21,1s,b4a39814176613dced160b76a976bb19ebca073d8e3892c757547a340d006bf5,0b78c2bb553d7a4bbf82fdd5cd664dd4e5e1769bb888778b05a390f1187ce41f,3861587,86400,86400,1676937600000,1677023999000,200,Thu, 13 Apr 2023 10:25:42 GMT,a80e50185f43941707da22851f6744c7,AmazonS3,application/zip,3861587,Miss from cloudfront,2BdLkZ02J6Nzvt7mECF5QXQDu7CSZHHsqoPAywTU5NcGseYD-IZogw==
