market,symbol,interval,earliest_date,available_intervals,base_symbol
spot,HIVEUSDT,1d,2020-04-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,HIVE
spot,CHRUSDT,1d,2020-05-07,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CHR
spot,LENDUSDT,1d,2020-05-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LEND
spot,MDTUSDT,1d,2020-06-05,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MDT
spot,STMXUSDT,1d,2020-06-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,STMX
spot,KNCUSDT,1d,2020-06-12,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,KNC
spot,LRCUSDT,1d,2020-06-12,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LRC
spot,COMPUSDT,1d,2020-06-25,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,COMP
spot,SCUSDT,1d,2020-07-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SC
spot,ZENUSDT,1d,2020-07-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ZEN
spot,SNXUSDT,1d,2020-07-09,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SNX
spot,VTHOUSDT,1d,2020-07-17,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,VTHO
spot,DGBUSDT,1d,2020-07-20,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DGB
spot,SXPUSDT,1d,2020-07-20,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SXP
spot,MKRUSDT,1d,2020-07-23,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MKR
spot,STORJUSDT,1d,2020-07-30,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,STORJ
spot,MANAUSDT,1d,2020-08-06,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,MANA
spot,YFIUSDT,1d,2020-08-10,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,YFI
spot,BALUSDT,1d,2020-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BAL
spot,BLZUSDT,1d,2020-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BLZ
spot,SOLUSDT,1d,2020-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SOL
spot,SRMUSDT,1d,2020-08-11,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SRM
spot,ANTUSDT,1d,2020-08-13,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,ANT
spot,SANDUSDT,1d,2020-08-14,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SAND
spot,CRVUSDT,1d,2020-08-15,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,CRV
spot,DOTUSDT,1d,2020-08-18,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DOT
spot,NMRUSDT,1d,2020-08-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,NMR
spot,OCEANUSDT,1d,2020-08-19,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,OCEAN
spot,LUNAUSDT,1d,2020-08-21,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,LUNA
spot,RSRUSDT,1d,2020-08-27,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,RSR
spot,PAXGUSDT,1d,2020-08-28,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,PAXG
spot,TRBUSDT,1d,2020-08-29,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,TRB
spot,BZRXUSDT,1d,2020-08-31,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,BZRX
spot,SUSHIUSDT,1d,2020-09-01,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,SUSHI
spot,YFIIUSDT,1d,2020-09-01,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,YFII
spot,EGLDUSDT,1d,2020-09-03,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,EGLD
spot,DIAUSDT,1d,2020-09-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,DIA
spot,FIOUSDT,1d,2020-09-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,FIO
spot,KSMUSDT,1d,2020-09-04,12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h,KSM
